,car_id,erstzulassung,kraftstoffart,getriebe,leistung,hubraum,farbe
2051,9e4071a2-810a-4840-aa44-2b2bf1d5effa,03/2013,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Schwarz Metallic
2052,9646cb74-98f1-451c-8001-0cab376bcf1f,01/2013,Diesel,Automatik,185 kW (252 PS),2.987 cm³,Silber Metallic
2053,e32f43aa-f6e9-4d35-97a1-6bc3ffd2b1d2,06/2021,"Benzin, E10-geeignet",Automatik,206 kW (280 PS),1.984 cm³,Schwarz Metallic
2054,91d5ec35-1e07-4c19-9447-860b622e7f45,02/2016,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Grau Metallic
2055,a85369ba-a246-4f8b-834a-144b451bf23d,06/2012,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Silber Metallic
2056,eefb1fda-febc-4f4d-b4dc-795a117e7e02,01/2013,Diesel,Automatik,185 kW (252 PS),2.987 cm³,Silber Metallic
2057,14e8ccf2-df10-497e-b9de-fbe0803d6c18,07/2013,Benzin,Automatik,165 kW (224 PS),1.984 cm³,Rot Metallic
2058,659703de-b554-4aab-80f1-1f10dd016d18,01/2011,Diesel,Schaltgetriebe,81 kW (110 PS),1.968 cm³,Schwarz Metallic
2059,60199590-84ba-4fc6-b1cb-300554fd97e1,02/2014,Benzin,Schaltgetriebe,162 kW (220 PS),1.984 cm³,Weiß Metallic
2060,0e4fa0e3-57a6-4461-b482-e3a4f166f94d,03/2012,Benzin,Automatik,155 kW (211 PS),1.984 cm³,Schwarz Metallic
2061,a1e3640d-95a6-4cc4-a16e-520e0be4ef3f,02/2017,Diesel,Automatik,100 kW (136 PS),2.143 cm³,Rot
2062,c0461e36-3a7b-4c3c-8075-a56ff4ec6d8c,01/2011,Diesel,Schaltgetriebe,81 kW (110 PS),1.968 cm³,Schwarz Metallic
2063,cbc3ebf1-abba-4018-adec-6a2f4c88f1d8,04/2010,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Braun Metallic
2064,daa384f8-a8da-430b-956a-2bf2bf0fdbdb,02/2015,Benzin,Automatik,221 kW (300 PS),1.984 cm³,Blau Metallic
2065,0f8f3858-3b00-4a59-8215-df59cc6169ed,04/2017,Diesel,Automatik,130 kW (177 PS),2.143 cm³,Schwarz Metallic
2066,482b66f9-04c4-4abc-b0f2-787f3bc3a334,03/2013,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Schwarz Metallic
2067,5e109698-7d1d-4f8a-8485-babe4a667d81,,,,,,
2068,5f96c597-7321-49c2-826f-e8a388159e5a,04/2010,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Braun Metallic
2069,19850dbd-c622-4097-b19d-f90fd168e35a,09/2013,Benzin,Automatik,90 kW (122 PS),1.395 cm³,Blau Metallic
2070,3eb8a099-8b55-495a-9029-8ba37ab9ae82,03/2013,Benzin,Schaltgetriebe,118 kW (160 PS),1.390 cm³,Weiß
2071,2d5efb56-e4ab-4aaa-9801-a868084ada43,04/2017,Diesel,Automatik,130 kW (177 PS),2.143 cm³,Schwarz Metallic
2072,87049bbb-59ff-471f-91a5-9246b3277361,11/2014,Benzin,Schaltgetriebe,110 kW (150 PS),1.395 cm³,Schwarz Metallic
2073,b3f306e9-3f67-408b-9989-c132831b0281,02/2015,Benzin,Automatik,221 kW (300 PS),1.984 cm³,Blau Metallic
2074,524f6620-8a19-4f7c-88b0-c3463a8195d4,11/2014,Benzin,Schaltgetriebe,110 kW (150 PS),1.395 cm³,Schwarz Metallic
2075,59d5f66e-0d8c-4794-97f2-ae6db9862857,04/2011,"Benzin, E10-geeignet",Schaltgetriebe,155 kW (211 PS),1.984 cm³,Grau Metallic
